soal,version-soal,opsi-1,opsi-2,opsi-3,opsi-4,opsi-5,opsi-benar,total-benar,total-salah,total-muncul,current-total-benar,current-total-muncul,prob-benar,current-prob,level-soal,current-level
"Bagian dari bidang biologi yang membutuhkan penggunaan mikroskop, sebagai contoh",001v001,Atom dan molekul,"Organel, sel dan jaringan",Bioma dan biosfer,Membran sel,Organ dan sistem organ,2,3,3,6,0,9,0.5,0.2,2,3
"Dalam studi biologi, penggunaan mikroskop diperlukan untuk mempelajari hal seperti",001v002,Atom dan molekul,"Organel, sel dan jaringan",Bioma dan biosfer,Membran sel,Organ dan sistem organ,2,0,0,0,8,11,0,0.73,2,1
"Ilmu biologi yang membutuhkan penggunaan mikroskop untuk mengkaji, sebagai contoh",001v003,Atom dan molekul,"Organel, sel dan jaringan",Bioma dan biosfer,Membran sel,Organ dan sistem organ,2,0,0,0,2,15,0,0.13,2,3
Cabang biologi yang mendorong peneliti untuk menghasilkan bibit unggul melalui hibridisasi (persilangan) ,002v001,Sitologi,Histologi,Taksonomi,Genetika,Botani,4,6,6,12,9,11,0.5,0.65,2,2
Cabang ilmu biologi yang menjadi dasar bagi peneliti dalam mengembangkan bibit unggul melalui teknik persilangan,002v002,Sitologi,Histologi,Taksonomi,Genetika,Botani,4,0,0,0,4,6,0,0.67,2,2
Bidang biologi yang mendasari upaya para peneliti dalam meningkatkan produksi pangan melalui pengembangan bibit unggul menggunakan hibridisasi,002v003,Sitologi,Histologi,Taksonomi,Genetika,Botani,4,0,0,0,11,13,0,0.85,2,1
Hal yang dipelajari dalam biologi untuk mengembangkan obat untuk flu burung (SARS) adalah,004v001,Bakteri,Virus,Sanitasi,Parasit,Epidemiologi,2,3,3,6,5,9,0.5,0.53,2,2
Komponen studi biologi yang diperlukan dalam pengembangan obat untuk flu burung (SARS) adalah,004v002,Bakteri,Virus,Sanitasi,Parasit,Epidemiologi,2,0,0,0,3,12,0,0.25,2,3
Aspek biologi yang penting dalam upaya mengembangkan obat untuk flu burung (SARS) adalah,004v003,Bakteri,Virus,Sanitasi,Parasit,Epidemiologi,2,0,0,0,4,9,0,0.44,2,2
"Ada sejumlah kelompok belalang, semut, dan rumput sehingga terbentuk",005v001,Ekosistem,Komunitas,Bioma,Biosfer,Lingkungan,2,4,7,11,2,7,0.36,0.33,2,2
"Terdapat kumpulan kelompok belalang, semut, dan rumput yang akan membentuk",005v002,Ekosistem,Komunitas,Bioma,Biosfer,Lingkungan,2,0,0,0,5,6,0,0.83,2,1
"Di suatu tempat terdapat kumpulan kelompok belalang,kelompok semut dan kelompok rumput. Kumpulan kelompok tersebut akan membentuk",005v003,Ekosistem,Komunitas,Bioma,Biosfer,Lingkungan,2,0,0,0,3,7,0,0.43,2,2
Pilihlah yang tidak termasuk dalam persiapan sebelum melakukan penelitian ilmiah,006v001,Alat dan bahan,Metode penelitian,Laporan penelitian,Objek penelitian,Variabel data yang akan diukur,3,2,4,6,3,8,0.33,0.36,2,2
Pilihlah mana yang bukan termasuk  hal yang disiapkan sebelum melakukan penelitian ilmiah,006v002,Alat dan bahan,Metode penelitian,Laporan penelitian,Objek penelitian,Variabel data yang akan diukur,3,0,0,0,4,6,0,0.67,2,2
Mana yang tidak menjadi bagian dari persiapan sebelum melakukan penelitian ilmiah,006v003,Alat dan bahan,Metode penelitian,Laporan penelitian,Objek penelitian,Variabel data yang akan diukur,3,0,0,0,1,6,0,0.17,2,3
